ir,pc_index,ai_index,inst,repoName,rURL,countItems,countCcdUrls,countItemUrls,countItemUris,useRatio,sumCcd,ccdAggSum,ccdAggCount,ccdAggMean,ccdAggStd,ccdAggMin,ccdAgg25,ccdAgg50,ccdAgg75,ccdAggMax,itemAggSum,itemAggCount,itemAggMean,itemAggStd,itemAggMin,itemAgg25,itemAgg50,itemAgg75,itemAggMax,serp1,serp1CcdSum,serp100,serp100CcdSum,irCountry,irType,irPlat,normIrPlat,ctMethod,ctEtd,pctEtd,gsSO
u_montana,u_montana_page_clicks,u_montana_access_info,University of Montana,ScholarWorks (U Montana),https://scholarworks.umt.edu,75715,6307,5836,5836,0.08,149482.0,149482.0,6307.0,23.70096717932456,88.01755009822259,1.0,1.0,3.0,11.0,1825.0,149482.0,5836.0,25.61377655928718,92.91807436488905,1.0,1.0,3.0,10.0,1825.0,12618,19907.0,80820,149482.0,USA,University,Digital Commons,Digital Commons,Website,11233,0.15,21600
unlincoln_dc,unlincoln_dc_page_clicks,unlincoln_dc_access_info,University of Nebraska Lincoln,Digital Commons @U Nebraska Lincoln,https://digitalcommons.unl.edu,105065,60599,47418,47418,0.45,1722888.0,1722888.0,60599.0,28.430964207330153,277.41605962273354,1.0,2.0,5.0,15.0,53203.0,1722663.0,47417.0,36.33007149334627,315.67623860738036,1.0,2.0,6.0,21.0,53203.0,189237,351102.0,869221,1722888.0,USA,University,Digital Commons,Digital Commons,Website,14731,0.14,51600
unlv_digital,unlv_digital_page_clicks,unlv_digital_access_info,University of Nevada - Las Vegas,Digital Scholarship at UNLV,https://digitalscholarship.unlv.edu,23896,6022,5339,5339,0.22,227232.0,227232.0,6022.0,37.73364330787114,171.49942839125129,1.0,2.0,5.0,17.0,5235.0,227232.0,5339.0,42.560779172129614,181.96832150490957,1.0,2.0,6.0,21.0,5235.0,9767,21101.0,99635,227232.0,USA,University,Digital Commons,Digital Commons,Website,3397,0.14,14000
new_mexico_dc,new_mexico_dc_page_clicks,new_mexico_dc_access_info,University of New Mexico,Digital Repository (UNM),https://digitalrepository.unm.edu,93564,9196,8839,8839,0.09,246001.0,246001.0,9196.0,26.750869943453676,143.49849996962675,1.0,2.0,5.0,15.0,6206.0,245998.0,8838.0,27.834125367730255,149.2952266764083,1.0,2.0,5.0,16.0,6206.0,29535,69784.0,126514,246001.0,USA,University,Digital Commons,Digital Commons,Website,5309,0.06,30600
shareok,shareok_page_clicks,shareok_access_info,University of Oklahoma/Oklahoma State University/University of Central Oklahoma,ShareOK,https://shareok.org,64972,13604,11834,11829,0.18,178470.0,178470.0,13604.0,13.118935607174361,62.57057329190276,1.0,1.0,2.0,7.0,2594.0,178458.0,11828.0,15.08775786269868,86.29491264182224,1.0,1.0,3.0,8.0,6092.0,30546,48794.0,110066,178470.0,USA,Consortium,DSpace,DSpace,Title browse,34165,0.53,34200
ds_pitt,ds_pitt_page_clicks,ds_pitt_access_info,University of Pittsburgh,D-Scholarship@Pitt,http://d-scholarship.pitt.edu,21358,6085,6021,6011,0.28,189997.0,189997.0,6085.0,31.223829087921118,296.72369671703456,1.0,2.0,5.0,19.0,21746.0,189995.0,6010.0,31.61314475873544,298.6702290737928,1.0,2.0,6.0,19.75,21746.0,18456,38641.0,97737,189997.0,USA,University,EPrints 3,EPrints,Website,9583,0.45,11900
uop_pearl,uop_pearl_page_clicks,uop_pearl_access_info,University of Plymouth,PEARL (U Plymouth),https://pearl.plymouth.ac.uk,9903,3235,2449,2449,0.25,38972.0,38972.0,3235.0,12.046986089644513,56.014787500373494,1.0,1.0,3.0,8.0,2177.0,38972.0,2449.0,15.91343405471621,82.51357990833485,1.0,1.0,3.0,10.0,3268.0,5619,8283.0,24450,38972.0,UK,University,DSpace,DSpace,Title browse,2586,0.26,4740
strathprints,strathprints_page_clicks,strathprints_access_info,University of Strathclyde,Strathprints,https://strathprints.strath.ac.uk,51386,9521,9451,9451,0.18,55089.0,55089.0,9521.0,5.786051885306165,20.652713587781093,1.0,1.0,2.0,5.0,759.0,55089.0,9451.0,5.828906993968892,20.734069150954323,1.0,1.0,2.0,5.0,759.0,19517,22101.0,44780,55089.0,UK,University,EPrints 3,EPrints,Statistics page,124,0.0,8570
ut_austin,ut_austin_page_clicks,ut_austin_access_info,University of Texas at Austin,Texas ScholarWorks,https://repositories.lib.utexas.edu,60359,22281,16370,16255,0.27,282521.0,282521.0,22281.0,12.6799066469189,359.523719893234,1.0,1.0,3.0,6.0,51634.0,262070.0,16254.0,16.123415774578564,430.7167650205429,1.0,1.0,3.0,8.0,52843.0,49317,131077.0,147187,282521.0,USA,University,DSpace,DSpace,Title browse,.,.,.
w_cape_repo,w_cape_repo_page_clicks,w_cape_repo_access_info,University of the Western Cape,Western Cape Research Respository,https://repository.uwc.ac.za,3640,1437,1381,972,0.27,17541.0,17541.0,1437.0,12.206680584551147,38.82472232964211,1.0,1.0,3.0,9.0,652.0,17541.0,972.0,18.046296296296298,54.75592238956354,1.0,2.0,4.0,13.0,756.0,4355,7119.0,11266,17541.0,South Africa,University,DSpace,DSpace,Title browse,0,0.0,997
w_cape_etd,w_cape_etd_page_clicks,w_cape_etd_access_info,University of the Western Cape,Western Cape ETD Repository,http://etd.uwc.ac.za/xmlui//,5143,6121,5730,3244,0.63,162410.0,162410.0,6121.0,26.533246201601045,87.4022567838766,1.0,2.0,6.0,19.0,2353.0,162410.0,3244.0,50.06473489519112,151.78903556723395,1.0,3.0,11.0,39.0,4483.0,27579,63254.0,78428,162410.0,South Africa,University,DSpace,DSpace,Title browse,5182,1.01,4990
u_waterloo,u_waterloo_page_clicks,u_waterloo_access_info,University of Waterloo,UWSpace (U Waterloo),https://uwspace.uwaterloo.ca,13021,10494,7671,7657,0.59,204839.0,204839.0,10494.0,19.519630264913285,53.10910377927315,1.0,2.0,5.0,16.0,1490.0,204831.0,7656.0,26.754310344827587,72.12279323092152,1.0,3.0,8.0,23.0,1765.0,17955,22809.0,134034,204839.0,Canada,University,DSpace,DSpace,Title browse,11657,0.9,11500
wollongong,wollongong_page_clicks,wollongong_access_info,University of Wollongong,Research Online (U Wollongong),https://ro.uow.edu.au,69396,23996,21343,21343,0.31,749251.0,749251.0,23996.0,31.223995665944322,144.68810251974648,1.0,2.0,6.0,21.0,9722.0,749044.0,21342.0,35.09717927092119,173.8331232996417,1.0,2.0,7.0,25.0,15696.0,79213,121761.0,401194,749251.0,Australia,University,Digital Commons,Digital Commons,Website,5662,0.08,31300
md_soar,md_soar_page_clicks,md_soar_access_info,University System of Maryland,Maryland SOAR,https://mdsoar.org,9359,2914,2543,2543,0.27,48778.0,48778.0,2914.0,16.739190116678106,126.66900975006824,1.0,1.0,3.0,8.0,4003.0,48778.0,2543.0,19.18128195045222,175.52369592744745,1.0,1.0,3.0,9.0,7594.0,5316,8202.0,24458,48778.0,USA,Consortium,DSpace,DSpace,Title browse,589,0.06,3160
va_tech,va_tech_page_clicks,va_tech_access_info,Virginia Tech,VTechWorks,https://vtechworks.lib.vt.edu,72275,24402,17751,17610,0.24,620847.0,620847.0,24402.0,25.442463732480945,375.870104403874,1.0,1.0,3.0,10.0,36865.0,620847.0,17610.0,35.25536626916525,581.3822027185943,1.0,1.0,4.0,14.0,45509.0,53646,182129.0,256607,620847.0,USA,University,DSpace,DSpace,Title browse,32837,0.45,53500
